name,price,link
"
Lenovo Legion Y740-15 81UH003QPB PL
","1.684,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Lenovo Legion Y740-15IRH 81UH003PPB PL
","1.598,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Lenovo ThinkBook 15 Gray 20RW0003MH
","658,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo ThinkBook 14 Grey 20SL0022MH
","763,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Dell Vostro 3590 Black i7 8/256GB R610 DVD Ubu
","741,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Lenovo ThinkBook 14 Grey 20SL00D3MH
","699,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo IdeaPad L340-15IRH Gaming 81LK00Y2PB PL
","866,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Yoga C740-14IML Iron Grey 81TC0064PB PL
","862,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Lenovo ThinkBook 14 Grey 20SL0023MH
","878,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo ThinkPad E15 Black 20RD0032MH
","714,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo Legion Y540-15IRH 81SY00HVPB PL
","851,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Lenovo ThinkPad E14 Black 20RA0036MH PL
","670,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo ThinkPad X390 Black 20Q0005PPB PL
","1.776,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Lenovo ThinkPad X1 Carbon 7th Gen 20QD00M5MH
","2.393,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Dell Vostro 3480 N3422VN3480BTPPL01_2001 PL
","946,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Dell Vostro 5490 Grey 5490-279609
","753,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo ThinkPad X1 Carbon 7th Gen 20QD00M6MH
","2.226,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Dell Vostro 5490 Grey 5490-279601
","581,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Lenovo ThinkPad P1 Gen 2 Black 20QT0029PB PL
","2.509,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Lenovo IdeaPad S145-15IIL 81W80073PB PL
","751,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Dell Inspiron 15 7580 Silver 7580-5734 PL
","1.153,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Dell Inspiron 17 3793 Silver 3793-4681 PL
","923,00",https://www.1a.lv/p/microsoft-surface-laptop-daj-00012/3y4
"
Asus ROG Strix SCAR III G731GW-H6161
","1.906,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Asus ROG Strix G G531GV-AL132T PL
","1.245,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Dell G3 15 3590 Black 273333508
","1.133,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Dell G3 15 3590 Black 273333496
","803,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Lenovo IdeaPad S145-15IIL Platinum Grey 81W8003BRM
","566,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Dell Latitude 5401 Black 273307101
","1.460,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Lenovo Yoga C740 Iron Grey 81TC0061PB PL
","766,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Lenovo Legion Y540-15IRH 81SX00Q7PB PL
","1.015,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Lenovo ThinkPad T490s Black 20NX007JMH
","2.215,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Lenovo Legion Y540-15IRH 81SX00PSPB
","1.213,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Lenovo ThinkPad T490s Black 20NX007HMH
","2.085,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Fujitsu Lifebook E559 VFY:E5590M431FBA
","835,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Fujitsu Lifebook E559 Black VFY:E5590M451FBA
","925,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Fujitsu Lifebook U749 VFY:U7490M451FBA
","1.139,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Microsoft Surface Laptop 3 13.5"" Platinum V4C-00008
","1.473,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Dell Precision 3541 Black N009P3541CEE
","1.211,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Dell Precision 3540 Black N021P3540EMEA
","1.310,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
HP Pavilion Gaming 15-dk0900na 9ES31EA-ABU
","1.101,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Lenovo ThinkPad E15 Black 20RD001XPB PL
","863,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Lenovo Yoga C740 Iron Grey 81TC0063PB PL
","946,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
"
Lenovo Legion Y540-15IRH Black 81SY00HHPB PL
","862,00",https://www.1a.lv/p/dell-vostro-3590-black-i5-8-256gb-r610-dvd-eng-rus-ubu/8gda
